column1	column2
154.00	92.17089080810547
	91.97764587402344
28.50	91.97764587402344
	91.97764587402344
	91.97764587402344
	69.95661163330078
	69.95661163330078
	69.95661163330078
	69.95661163330078
62.71	69.95661163330078
	69.95661163330078
	69.95661163330078
	69.95661163330078
	69.95661163330078
	69.95661163330078
	69.95661163330078
	54.8109016418457
32.40	54.8109016418457
	54.8109016418457
80.28	54.8109016418457
	51.68671798706055
33.30	51.68671798706055
145.49	50.59444808959961
	50.59444808959961
	43.276363372802734
198.33	43.276363372802734
20.50	41.34067916870117
	41.34067916870117
	36.274940490722656
	34.801692962646484
63.50	34.801692962646484
120.00	30.858715057373047
	30.858715057373047
	28.58486557006836
23.00	28.58486557006836
63.60	24.430360794067383
	24.430360794067383
25.00	21.286062240600586
22.00	21.286062240600586
14.00	21.286062240600586
	21.286062240600586
	21.286062240600586
	21.139141082763672
37.61	21.139141082763672
	20.711456298828125
20.75	20.711456298828125
	20.299726486206055
	20.299726486206055
	20.299726486206055
	20.299726486206055
15.45	20.299726486206055
	20.299726486206055
	20.299726486206055
63.79	17.773853302001953
	17.63929557800293
5.51	17.63929557800293
	15.472857475280762
	15.472857475280762
	15.472857475280762
	15.472857475280762
6.96	15.472857475280762
	15.472857475280762
	15.472857475280762
10.20	15.472857475280762
5.00	15.472857475280762
5.89	15.472857475280762
	14.933560371398926
5.08	14.933560371398926
	14.433364868164062
22.20	14.433364868164062
34.03	14.31108283996582
	14.31108283996582
54.00	14.31108283996582
	14.31108283996582
	14.31108283996582
	13.742348670959473
40.72	13.742348670959473
13.50	13.165566444396973
	13.165566444396973
	13.16365909576416
1.88	13.16365909576416
	13.16365909576416
	13.16365909576416
	13.16365909576416
6.12	13.16365909576416
	13.16365909576416
	13.16365909576416
	13.16365909576416
4.95	13.16365909576416
6.76	13.16365909576416
	13.16365909576416
	13.16365909576416
	13.16365909576416
	13.16365909576416
	13.16365909576416
	13.16365909576416
5.62	13.16365909576416
5.84	13.16365909576416
	13.16365909576416
8.07	13.16365909576416
6.28	13.16365909576416
7.50	13.16365909576416
	13.16365909576416
5.14	13.16365909576416
	13.16365909576416
	13.16365909576416
5.41	13.16365909576416
	12.724920272827148
4.36	12.724920272827148
	12.724920272827148
7.76	12.724920272827148
10.10	12.375316619873047
9.51	12.375316619873047
	12.375316619873047
	12.375316619873047
	12.365217208862305
257.54	12.365217208862305
	12.365217208862305
8.69	11.886271476745605
	11.886271476745605
13.90	11.886271476745605
8.88	11.886271476745605
	11.886271476745605
14.00	11.886271476745605
	11.886271476745605
	11.886271476745605
	11.316628456115723
	11.316628456115723
87.00	11.316628456115723
13.83	10.387307167053223
3.88	10.245986938476562
	10.245986938476562
3.84	10.076807022094727
	10.076807022094727
3.89	10.076807022094727
	10.076807022094727
6.00	10.076807022094727
	10.076807022094727
	10.076807022094727
	10.076807022094727
5.04	10.076807022094727
	9.706893920898438
	9.706893920898438
	9.706893920898438
	9.706893920898438
	9.706893920898438
	9.706893920898438
	9.706893920898438
	9.706893920898438
6.14	9.3615140914917
	9.3615140914917
7.43	8.668742179870605
	8.668742179870605
13.11	8.30935287475586
	8.30935287475586
30.50	8.28764820098877
	8.113129615783691
2.31	8.113129615783691
	7.773162841796875
	7.773162841796875
40.71	7.773162841796875
	7.773162841796875
18.63	6.464972019195557
	6.464972019195557
5.36	5.982466220855713
	5.982466220855713
12.56	5.877884387969971
	5.877884387969971
10.50	5.408490180969238
	5.408490180969238
	5.408490180969238
11.14	5.408490180969238
	5.408490180969238
6.25	4.996236801147461
	4.996236801147461
8.14	4.7076520919799805
	4.7076520919799805
1.33	4.545208930969238
	4.545208930969238
2.82	4.545208930969238
	4.545208930969238
25.30	4.458001136779785
	4.21820592880249
	4.21820592880249
2.06	4.21820592880249
1.57	4.21820592880249
	4.0536370277404785
16.50	4.0536370277404785
	3.729637622833252
4.83	3.49988055229187
	3.49988055229187
1.95	3.3512933254241943
	3.3512933254241943
	3.3512933254241943
1.16	3.3512933254241943
	3.3512933254241943
	3.322824001312256
	3.322824001312256
3.35	3.322824001312256
5.87	3.322824001312256
1.30	3.0317740440368652
	2.7278661727905273
9.12	2.7278661727905273
2.84	2.3700313568115234
	2.3700313568115234
0.75	1.4748753309249878
	1.1458981037139893
	1.1458981037139893
	1.1458981037139893
0.67	0.8139784336090088
	0.8139784336090088
	0.5755873322486877
	0.5755873322486877
	0.5755873322486877
0.54	0.4338226020336151
	0.4338226020336151
	0.2432580590248108
1.17	0.2432580590248108





21.50

1.36




2.42

28.20







18.00
0.26








2.35
