"Time, h","Central conc., mg/L","Peripheral conc., mg/L"
0,0,0
2,4.537774132981927,2.3153166337752182
4,2.100158244914908,2.567718912716989
6,1.264071235446209,2.204940129531731
8,0.889797119461404,1.7753119425523287
10,0.6699940718739148,1.4013740717384464
11.9999999,0.517414778369934,1.099706559758373
12,0.517414778369934,1.099706559758373
14,4.94054819312783,3.175996210808911
16,2.41459717991855,3.2408483296382724
18,1.5097853223939655,2.7312642039655493
20,1.081868916575973,2.186815672155389
22,0.8201504438396663,1.7230976886368998
23.9999999,0.634931493779602,1.3514978359287106
24,0.634931493779602,1.3514978359287106
26,5.032422994052568,3.372850926433222
28,2.4864258117436595,3.3947523144118086
30,1.565941860059327,2.851588554977488
32,1.1257728620938918,2.2808869557758182
34,0.8544751592784456,1.7966439449544251
36,0.6617151107678554,1.4088910632497555
