barcode,pos,SampleID,Concentration,Activity
LJ-PLATE-1,A1,SMP-1,0.6009731928848067,0.9114880584312927
LJ-PLATE-1,A2,SMP-2,0.3905796954012627,0.6223364222250716
LJ-PLATE-1,A3,SMP-3,0.5250789139686107,0.160691193808278
LJ-PLATE-1,A4,SMP-4,0.8405849405180669,0.3106628876088824
LJ-PLATE-1,A5,SMP-5,0.8705319977384004,0.9214838403373089
LJ-PLATE-1,A6,SMP-6,0.5602360280800621,0.37988814941957305
LJ-PLATE-1,A7,SMP-7,0.14050517176604183,0.8548841956744745
LJ-PLATE-1,A8,SMP-8,0.1441750200896429,0.3106865639316724
LJ-PLATE-1,A9,SMP-9,0.3461376284229388,0.839841948839684
LJ-PLATE-1,A10,SMP-10,0.7601789996492819,0.6017445545589653
LJ-PLATE-1,A11,SMP-11,0.7822777968113382,0.8180366873538111
LJ-PLATE-1,A12,SMP-12,0.06587293775712488,0.7426458793420057
LJ-PLATE-1,B1,SMP-13,0.4462696144730416,0.8546805800796566
LJ-PLATE-1,B2,SMP-14,0.8381237835809724,0.6834702057067805
LJ-PLATE-1,B3,SMP-15,0.46303451652537586,0.7311992477441087
LJ-PLATE-1,B4,SMP-16,0.7609535984061695,0.031129582941156753
LJ-PLATE-1,B5,SMP-17,0.830306095323118,0.06686151848725608
LJ-PLATE-1,B6,SMP-18,0.5279528652101779,0.18946842333028358
LJ-PLATE-1,B7,SMP-19,0.3746171093593944,0.6545781973331299
LJ-PLATE-1,B8,SMP-20,0.537509170479444,0.4521172642997483
LJ-PLATE-1,B9,SMP-21,0.03598795574048119,0.6933173740233134
LJ-PLATE-1,B10,SMP-22,0.926564468155431,0.22457689657281366
LJ-PLATE-1,B11,SMP-23,0.6483904266066118,0.3385943090479633
LJ-PLATE-1,B12,SMP-24,0.7955338751796714,0.9425105227604843
LJ-PLATE-1,C1,SMP-25,0.9960179770530969,0.5331696870052652
LJ-PLATE-1,C2,SMP-26,0.42949403765702887,0.7309815046460535
LJ-PLATE-1,C3,SMP-27,0.12830335971904128,0.4479390454926764
LJ-PLATE-1,C4,SMP-28,0.14149710563725004,0.1735701515886099
LJ-PLATE-1,C5,SMP-29,0.0480052433947854,0.3336358880495035
LJ-PLATE-1,C6,SMP-30,0.7518037237121186,0.38098681370930654
LJ-PLATE-1,C7,SMP-31,0.6226028626174198,0.37529466907454656
LJ-PLATE-1,C8,SMP-32,0.7739831459250015,0.9242582192218055
LJ-PLATE-1,C9,SMP-33,0.09360950980534088,0.3093903015419923
LJ-PLATE-1,C10,SMP-34,0.24079436061064297,0.4849628166922858
LJ-PLATE-1,C11,SMP-35,0.922127180634082,0.4229686964648516
LJ-PLATE-1,C12,SMP-36,0.2556539057319668,0.5579695793623378
LJ-PLATE-1,D1,SMP-37,0.7814149221096984,0.09251176560037977
LJ-PLATE-1,D2,SMP-38,0.472172833668115,0.8010111503179368
LJ-PLATE-1,D3,SMP-39,0.7267010738421001,0.2546333510343216
LJ-PLATE-1,D4,SMP-40,0.13606455845310672,0.7763371307765636
LJ-PLATE-1,D5,SMP-41,0.19318835366355402,0.3883380704705973
LJ-PLATE-1,D6,SMP-42,0.411160449340494,0.32206742187731396
LJ-PLATE-1,D7,SMP-43,0.5603001376362965,0.4429552915567807
LJ-PLATE-1,D8,SMP-44,0.2439406094264016,0.8656429052730416
LJ-PLATE-1,D9,SMP-45,0.44580614159051346,0.948151200629593
LJ-PLATE-1,D10,SMP-46,0.69680962198971,0.9182890191814114
LJ-PLATE-1,D11,SMP-47,0.9755910595607669,0.527596314002571
LJ-PLATE-1,D12,SMP-48,0.0842542550103198,0.15967039160727992
