smiles,Inhibition
FC(F)Oc1cccc(c1)C(=O)NCCN2C(=O)S\C(=C/c3cccnc3)\C2=O,71.68437637792677
NC(=O)C1CCN(CC1)c2ncc(cc2Cl)C(F)(F)F,60.60745347811664
Cc1ccc(cc1[N+](=O)[O-])C(=O)COC(=O)CCC(=O)NC2CCCCC2,33.162775771069654
CC(C)(O)P(=O)(C)c1ccccc1,52.73664526740279
Cc1cc(C)nc(Nc2n[nH]c(COc3cccc4ccccc34)n2)n1,41.501693176870965
CCCn1c(SCC(=O)N2CCOCC2)nnc1c3ccncc3,61.24429607037345
Clc1ccc(NC(=O)Nc2ccc(N3CCCC3)c(c2)S(=O)(=O)Nc4ccccc4Cl)cc1Cl,37.80883873791089
COc1ccc(CCNC(=O)c2oc(cc2)c3ccc(cc3)[N+](=O)[O-])cc1OC,64.87434222905189
CCc1cccc(NC(=O)Nc2ccc3OCOc3c2)c1,61.511794737189774
CC(C)NC(=O)c1onc(C)c1,56.32317597457731
CCOC(=O)c1cccc(c1)n2c(C)cc(C=O)c2C,15.788218364186335
O=C(CCCN1C(=O)Oc2ccccc12)N3CCN(CC3)c4ccccn4,51.96877569012052
COc1ccc(Br)cc1CN2CCN(CC2)C(=O)c3cccc(F)c3.OC(=O)C(=O)O,72.04264504963822
CC1(C)Cc2cccc(OCC(=O)N3CCN(CC3)c4ccc(cc4)[N+](=O)[O-])c2O1,42.3025636607648
CCc1nnc(NC(=O)CCc2onc(n2)C3=CCN(C)CC3)s1,67.9691577878808
Cc1ccccc1NC(=O)c2cccc(c2)N3C(=O)C4C5CC(C(Br)C5Br)C4C3=O,44.136805793275784
Cc1cc(C)c2NC(C3CC=CC3c2c1)c4ccc(cc4)S(=O)(=O)N5CCOCC5,57.828943767236794
Cl.CN1CCN(CC1)C(=O)\C(=C\c2ccc(F)cc2)\C#N,12.131640572966589
C1Cc2ccccc2CN1c3[nH]cnc4c5ccccc5nc34,79.22065083312702
