t,centr,peri,eff
0,0,0,0.200000002980232
1.10000002384186,1874.64770507813,309.262878417969,0.417166858911514
2.40000009536743,2163.33081054688,968.619445800781,0.675055742263794
3.40000009536743,1922.12548828125,1442.61096191406,0.872676551342011
4.19999980926514,1659.09631347656,1758.21484375,1.02999603748322
4.80000019073486,1461.69775390625,1954.9765625,1.14736306667328
5.5,1248.05102539063,2143.85083007812,1.28341794013977
6.90000009536743,896.693908691406,2409.33911132812,1.55166161060333
7.5,777.51171875,2485.69995117187,1.6645268201828
8.60000038146973,601.482360839844,2581.09399414062,1.86706209182739
9.10000038146973,537.084289550781,2608.9013671875,1.95685958862305
9.39999961853027,502.476318359375,2621.71142578125,2.0099515914917
9.80000019073486,460.583862304688,2634.77758789063,2.07974171638489
10.3000001907349,414.377624511719,2645.38598632812,2.16524052619934
10.8000001907349,374.212951660156,2650.47485351562,2.24863696098328
11.1999998092651,345.907836914062,2651.10717773437,2.3137218952179
12,298.015869140625,2644.68872070312,2.43917846679687
13.1000003814697,2122.12524414062,2931.99169921875,2.64402198791504
13.6000003814697,2354.8193359375,3163.50805664062,2.74025821685791
15.8999996185303,1930.23596191406,4172.1953125,3.18099784851074
22.2999992370605,524.591186523438,4876.26416015625,4.29575157165527
23.2999992370605,445.302001953125,4835.140625,4.4413366317749
24.2000007629395,930.712219238281,4798.53271484375,4.56839752197266
25.8999996185303,2495.82104492187,5375.837890625,4.88198804855347
31.2000007629395,1049.04504394531,6668.2890625,5.83415174484253
32.5,817.649536132813,6680.0595703125,6.04233360290527
37.5999984741211,2526.40551757812,6844.12255859375,6.79903411865234
43.7000007629395,1015.01696777344,8082.9501953125,7.8505425453186
65.8000030517578,1552.45654296875,10000.2763671875,11.1674013137817
